management.M1 soil_type.CL soil_type.SL precipitation relative_irrigation number_of_trips_reduction relative_profit_percentage
1 1 0 0 0.75 0 0.217484967
1 1 0 0 0.5 0 0.091403175
1 1 0 0 1 1 0.247644444
1 1 0 0 0.75 1 0.227942484
1 1 0 0 0.5 1 0.104101587
1 1 0 0 1 2 0.1712
1 1 0 0 0.75 2 0.1712
1 1 0 0 0.5 2 0.1168
1 1 0 1 1 0 0.305742222
1 1 0 1 0.75 0 0.217484967
1 1 0 1 0.5 0 0.091403175
1 1 0 1 1 1 0.247644444
1 1 0 1 0.75 1 0.227942484
1 1 0 1 0.5 1 0.104101587
1 1 0 1 1 2 0.1712
1 1 0 1 0.75 2 0.1712
1 1 0 1 0.5 2 0.1168
1 1 0 2 1 0 0.370112
1 1 0 2 0.75 0 0.279510588
1 1 0 2 0.5 0 0.15008
1 1 0 2 1 1 0.252871111
1 1 0 2 0.75 1 0.252871111
1 1 0 2 0.5 1 0.162778413
1 1 0 2 1 2 0.05746963
1 1 0 2 0.75 2 0.05746963
1 1 0 2 0.5 2 0.05746963
1 1 0 0 1 0 0.377422222
1 1 0 0 0.75 0 0.280732026
1 1 0 0 0.5 0 0.142603175
1 1 0 0 1 1 0.312808081
1 1 0 0 0.75 1 0.291189542
1 1 0 0 0.5 1 0.155301587
1 1 0 0 1 2 0.227789474
1 1 0 0 0.75 2 0.227789474
1 1 0 0 0.5 2 0.168
1 1 0 1 1 0 0.395271111
1 1 0 1 0.75 0 0.299095425
1 1 0 1 0.5 0 0.161701587
1 1 0 1 1 1 0.309552941
1 1 0 1 0.75 1 0.309552941
1 1 0 1 0.5 1 0.1744
1 1 0 1 1 2 0.187098413
1 1 0 1 0.75 2 0.187098413
1 1 0 1 0.5 2 0.187098413
1 1 0 2 1 0 0.41312
1 1 0 2 0.75 0 0.317458824
1 1 0 2 0.5 0 0.1808
1 1 0 2 1 1 0.288711111
1 1 0 2 0.75 1 0.288711111
1 1 0 2 0.5 1 0.193498413
1 1 0 2 1 2 0.081362963
1 1 0 2 0.75 2 0.081362963
1 1 0 2 0.5 2 0.081362963
1 1 0 0 1 0 0.377422222
1 1 0 0 0.75 0 0.280732026
1 1 0 0 0.5 0 0.142603175
1 1 0 0 1 1 0.312808081
1 1 0 0 0.75 1 0.291189542
1 1 0 0 0.5 1 0.155301587
1 1 0 0 1 2 0.227789474
1 1 0 0 0.75 2 0.227789474
1 1 0 0 0.5 2 0.168
1 1 0 1 1 0 0.377422222
1 1 0 1 0.75 0 0.280732026
1 1 0 1 0.5 0 0.142603175
1 1 0 1 1 1 0.312808081
1 1 0 1 0.75 1 0.291189542
1 1 0 1 0.5 1 0.155301587
1 1 0 1 1 2 0.227789474
1 1 0 1 0.75 2 0.227789474
1 1 0 1 0.5 2 0.168
